,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
159,2,1.0,20.0,16.0,8,2019,25.8,41.7,967.0,0,51.9,2.8,
160,1,4.0,1.0,2.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
161,0,4.0,2.0,1.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
162,1,4.0,3.0,3.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
163,0,4.0,4.0,9.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
164,1,5.0,5.0,4.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
165,0,4.0,6.0,5.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
166,0,4.0,7.0,8.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
167,1,1.0,8.0,19.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
168,0,4.0,9.0,6.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
169,0,4.0,10.0,7.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
170,1,1.0,11.0,13.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
171,1,1.0,12.0,12.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
172,1,1.0,13.0,15.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
173,1,1.0,14.0,14.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
174,1,1.0,15.0,18.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
175,1,1.0,16.0,11.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
176,1,1.0,17.0,16.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
177,1,1.0,18.0,0.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
178,0,4.0,19.0,10.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
179,1,1.0,20.0,17.0,9,2019,33.3,21.2,941.3,0,51.4,1.8,
180,1,6.0,4.0,5.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
181,1,1.0,17.0,15.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
182,0,4.0,3.0,3.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
183,1,1.0,13.0,18.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
184,0,1.0,20.0,16.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
185,0,6.0,12.0,9.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
186,0,1.0,9.0,17.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
187,0,4.0,10.0,10.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
188,0,4.0,7.0,7.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
189,1,6.0,5.0,4.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
190,0,4.0,11.0,8.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
191,1,5.0,1.0,2.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
192,0,4.0,16.0,6.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
193,1,1.0,6.0,13.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
194,1,1.0,14.0,19.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
195,1,1.0,8.0,12.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
196,1,6.0,2.0,1.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
197,0,1.0,19.0,14.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
198,1,1.0,15.0,20.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
199,1,1.0,18.0,11.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3,
200,4,1.0,14.0,4.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
201,4,1.0,20.0,8.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
202,4,1.0,17.0,10.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
203,4,1.0,4.0,15.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
204,4,1.0,8.0,12.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
205,4,1.0,6.0,16.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
206,4,1.0,3.0,14.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
207,4,1.0,16.0,9.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
208,4,1.0,19.0,13.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
209,4,1.0,1.0,2.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
210,4,1.0,18.0,19.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
211,4,1.0,9.0,1.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
212,4,1.0,2.0,20.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
213,4,1.0,5.0,7.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
214,4,1.0,11.0,17.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
215,4,1.0,12.0,5.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
216,4,1.0,15.0,3.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
217,4,1.0,7.0,6.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
218,4,1.0,10.0,18.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
219,4,1.0,13.0,11.0,11,2019,21.0,87.9,991.1,1,26.4,0.8,
220,1,4.0,1.0,3.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
221,1,4.0,2.0,1.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
222,1,4.0,3.0,5.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
223,1,4.0,4.0,4.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
224,0,4.0,5.0,8.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
225,1,4.0,6.0,6.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
226,0,4.0,7.0,10.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
227,1,4.0,8.0,2.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
228,0,4.0,9.0,7.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
229,1,1.0,10.0,12.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
230,1,1.0,11.0,16.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
231,1,1.0,12.0,11.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
232,1,1.0,13.0,14.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
233,2,1.0,14.0,20.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
234,1,1.0,15.0,13.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
235,1,1.0,16.0,15.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
236,1,1.0,17.0,18.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
237,1,1.0,18.0,17.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
238,1,1.0,19.0,19.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
239,0,4.0,20.0,9.0,12,2019,25.1,35.9,986.8,0,43.0,2.1,
240,0,1.0,9.0,13.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
241,0,4.0,6.0,7.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
242,0,4.0,1.0,1.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
243,0,1.0,10.0,16.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
244,0,4.0,12.0,8.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
245,1,1.0,5.0,17.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
246,1,1.0,7.0,19.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
247,0,4.0,8.0,12.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
248,0,4.0,14.0,10.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
249,0,4.0,20.0,5.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
250,0,1.0,11.0,11.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
251,0,6.0,2.0,3.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
252,0,4.0,4.0,2.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
253,0,1.0,19.0,15.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
254,1,1.0,15.0,14.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
255,0,4.0,16.0,6.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
256,0,6.0,3.0,4.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
257,0,1.0,13.0,9.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
258,1,1.0,17.0,0.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
259,1,1.0,18.0,18.0,13,2019,16.8,60.0,968.3,0,27.1,1.9,
260,1,1.0,11.0,17.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
261,1,1.0,7.0,18.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
262,0,4.0,1.0,1.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
263,0,4.0,12.0,9.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
264,0,1.0,18.0,11.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
265,0,4.0,6.0,8.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
266,1,1.0,19.0,12.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
267,0,4.0,5.0,6.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
268,0,4.0,4.0,5.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
269,1,1.0,8.0,19.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
270,1,1.0,10.0,16.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
271,0,4.0,3.0,2.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
272,0,5.0,13.0,4.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
273,0,4.0,20.0,7.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
274,1,1.0,14.0,14.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
275,1,1.0,15.0,0.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
276,0,4.0,2.0,3.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
277,0,1.0,16.0,13.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
278,1,1.0,17.0,15.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
279,0,1.0,9.0,10.0,14,2019,19.7,58.2,989.6,0,32.8,0.0,
280,2,1.0,8.0,11.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
281,1,1.0,19.0,15.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
282,0,4.0,2.0,1.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
283,1,1.0,13.0,16.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
284,1,1.0,17.0,13.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
285,0,4.0,6.0,6.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
286,1,1.0,15.0,14.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
287,0,4.0,9.0,8.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
288,1,1.0,14.0,20.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
289,0,4.0,3.0,4.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
290,0,4.0,7.0,9.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
291,0,4.0,4.0,2.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
292,0,4.0,1.0,3.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
293,0,4.0,12.0,7.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
294,1,1.0,20.0,18.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
295,1,1.0,18.0,12.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
296,0,4.0,5.0,5.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
297,1,1.0,11.0,17.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
298,1,1.0,16.0,19.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
299,1,1.0,10.0,10.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9,
300,1,4.0,1.0,2.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
301,1,4.0,2.0,4.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
302,0,4.0,3.0,1.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
303,0,4.0,4.0,9.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
304,1,1.0,5.0,0.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
305,0,4.0,6.0,5.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
306,0,1.0,7.0,11.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
307,0,4.0,8.0,7.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
308,0,1.0,9.0,13.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2,
