,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year
7,SOFT,4.0,False,10.0,10.0,British Grand Prix,2019
8,SOFT,4.0,False,7.0,7.0,British Grand Prix,2019
9,MEDIUM,6.0,False,5.0,4.0,British Grand Prix,2019
10,SOFT,4.0,False,11.0,8.0,British Grand Prix,2019
11,MEDIUM,5.0,False,1.0,2.0,British Grand Prix,2019
12,SOFT,4.0,False,16.0,6.0,British Grand Prix,2019
13,MEDIUM,1.0,True,6.0,13.0,British Grand Prix,2019
14,MEDIUM,1.0,True,14.0,19.0,British Grand Prix,2019
15,MEDIUM,1.0,True,8.0,12.0,British Grand Prix,2019
16,MEDIUM,6.0,False,2.0,1.0,British Grand Prix,2019
17,SOFT,1.0,True,19.0,14.0,British Grand Prix,2019
18,MEDIUM,1.0,True,15.0,20.0,British Grand Prix,2019
19,MEDIUM,1.0,True,18.0,11.0,British Grand Prix,2019
0,WET,1.0,True,14.0,4.0,German Grand Prix,2019
1,WET,1.0,True,20.0,8.0,German Grand Prix,2019
2,WET,1.0,True,17.0,10.0,German Grand Prix,2019
3,WET,1.0,True,4.0,15.0,German Grand Prix,2019
4,WET,1.0,True,8.0,12.0,German Grand Prix,2019
5,WET,1.0,True,6.0,16.0,German Grand Prix,2019
6,WET,1.0,True,3.0,14.0,German Grand Prix,2019
7,WET,1.0,True,16.0,9.0,German Grand Prix,2019
8,WET,1.0,True,19.0,13.0,German Grand Prix,2019
9,WET,1.0,True,1.0,2.0,German Grand Prix,2019
10,WET,1.0,True,18.0,19.0,German Grand Prix,2019
11,WET,1.0,True,9.0,1.0,German Grand Prix,2019
12,WET,1.0,True,2.0,20.0,German Grand Prix,2019
13,WET,1.0,True,5.0,7.0,German Grand Prix,2019
14,WET,1.0,True,11.0,17.0,German Grand Prix,2019
15,WET,1.0,True,12.0,5.0,German Grand Prix,2019
16,WET,1.0,True,15.0,3.0,German Grand Prix,2019
17,WET,1.0,True,7.0,6.0,German Grand Prix,2019
18,WET,1.0,True,10.0,18.0,German Grand Prix,2019
19,WET,1.0,True,13.0,11.0,German Grand Prix,2019
0,MEDIUM,4.0,False,1.0,3.0,Hungarian Grand Prix,2019
1,MEDIUM,4.0,False,2.0,1.0,Hungarian Grand Prix,2019
2,MEDIUM,4.0,False,3.0,5.0,Hungarian Grand Prix,2019
3,MEDIUM,4.0,False,4.0,4.0,Hungarian Grand Prix,2019
4,SOFT,4.0,False,5.0,8.0,Hungarian Grand Prix,2019
5,MEDIUM,4.0,False,6.0,6.0,Hungarian Grand Prix,2019
6,SOFT,4.0,False,7.0,10.0,Hungarian Grand Prix,2019
7,MEDIUM,4.0,False,8.0,2.0,Hungarian Grand Prix,2019
8,SOFT,4.0,False,9.0,7.0,Hungarian Grand Prix,2019
9,MEDIUM,1.0,True,10.0,12.0,Hungarian Grand Prix,2019
10,MEDIUM,1.0,True,11.0,16.0,Hungarian Grand Prix,2019
11,MEDIUM,1.0,True,12.0,11.0,Hungarian Grand Prix,2019
12,MEDIUM,1.0,True,13.0,14.0,Hungarian Grand Prix,2019
13,HARD,1.0,False,14.0,20.0,Hungarian Grand Prix,2019
14,MEDIUM,1.0,True,15.0,13.0,Hungarian Grand Prix,2019
15,MEDIUM,1.0,True,16.0,15.0,Hungarian Grand Prix,2019
16,MEDIUM,1.0,True,17.0,18.0,Hungarian Grand Prix,2019
17,MEDIUM,1.0,True,18.0,17.0,Hungarian Grand Prix,2019
18,MEDIUM,1.0,True,19.0,19.0,Hungarian Grand Prix,2019
19,SOFT,4.0,False,20.0,9.0,Hungarian Grand Prix,2019
0,SOFT,1.0,True,9.0,13.0,Belgian Grand Prix,2019
1,SOFT,4.0,False,6.0,7.0,Belgian Grand Prix,2019
2,SOFT,4.0,False,1.0,1.0,Belgian Grand Prix,2019
3,SOFT,1.0,True,10.0,16.0,Belgian Grand Prix,2019
4,SOFT,4.0,False,12.0,8.0,Belgian Grand Prix,2019
5,MEDIUM,1.0,True,5.0,17.0,Belgian Grand Prix,2019
6,MEDIUM,1.0,True,7.0,19.0,Belgian Grand Prix,2019
7,SOFT,4.0,False,8.0,12.0,Belgian Grand Prix,2019
8,SOFT,4.0,False,14.0,10.0,Belgian Grand Prix,2019
9,SOFT,4.0,False,20.0,5.0,Belgian Grand Prix,2019
10,SOFT,1.0,True,11.0,11.0,Belgian Grand Prix,2019
11,SOFT,6.0,False,2.0,3.0,Belgian Grand Prix,2019
12,SOFT,4.0,False,4.0,2.0,Belgian Grand Prix,2019
13,SOFT,1.0,True,19.0,15.0,Belgian Grand Prix,2019
14,MEDIUM,1.0,True,15.0,14.0,Belgian Grand Prix,2019
15,SOFT,4.0,False,16.0,6.0,Belgian Grand Prix,2019
16,SOFT,6.0,False,3.0,4.0,Belgian Grand Prix,2019
17,SOFT,1.0,True,13.0,9.0,Belgian Grand Prix,2019
18,MEDIUM,1.0,True,17.0,0.0,Belgian Grand Prix,2019
19,MEDIUM,1.0,True,18.0,18.0,Belgian Grand Prix,2019
0,MEDIUM,1.0,False,11.0,17.0,Italian Grand Prix,2019
1,MEDIUM,1.0,True,7.0,18.0,Italian Grand Prix,2019
2,SOFT,4.0,False,1.0,1.0,Italian Grand Prix,2019
3,SOFT,4.0,False,12.0,9.0,Italian Grand Prix,2019
4,SOFT,1.0,True,18.0,11.0,Italian Grand Prix,2019
5,SOFT,4.0,False,6.0,8.0,Italian Grand Prix,2019
6,MEDIUM,1.0,False,19.0,12.0,Italian Grand Prix,2019
7,SOFT,4.0,False,5.0,6.0,Italian Grand Prix,2019
8,SOFT,4.0,False,4.0,5.0,Italian Grand Prix,2019
9,MEDIUM,1.0,True,8.0,19.0,Italian Grand Prix,2019
10,MEDIUM,1.0,True,10.0,16.0,Italian Grand Prix,2019
11,SOFT,4.0,False,3.0,2.0,Italian Grand Prix,2019
12,SOFT,5.0,False,13.0,4.0,Italian Grand Prix,2019
13,SOFT,4.0,False,20.0,7.0,Italian Grand Prix,2019
14,MEDIUM,1.0,True,14.0,14.0,Italian Grand Prix,2019
15,MEDIUM,1.0,True,15.0,0.0,Italian Grand Prix,2019
16,SOFT,4.0,False,2.0,3.0,Italian Grand Prix,2019
17,SOFT,1.0,True,16.0,13.0,Italian Grand Prix,2019
18,MEDIUM,1.0,True,17.0,15.0,Italian Grand Prix,2019
19,SOFT,1.0,True,9.0,10.0,Italian Grand Prix,2019
0,HARD,1.0,True,8.0,11.0,Singapore Grand Prix,2019
1,MEDIUM,1.0,True,19.0,15.0,Singapore Grand Prix,2019
2,SOFT,4.0,False,2.0,1.0,Singapore Grand Prix,2019
