,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
4,SOFT,4.0,False,7.0,8.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
5,SOFT,1.0,True,11.0,11.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
6,SOFT,4.0,False,9.0,9.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
7,MEDIUM,1.0,True,13.0,0.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
8,SOFT,4.0,False,12.0,13.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
9,SOFT,4.0,False,3.0,4.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
10,SOFT,1.0,True,20.0,10.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
11,SOFT,4.0,False,1.0,2.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
12,SOFT,4.0,False,4.0,3.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
13,SOFT,1.0,True,8.0,12.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
14,MEDIUM,1.0,True,17.0,19.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
15,MEDIUM,1.0,True,14.0,14.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
16,SOFT,4.0,False,2.0,1.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
17,SOFT,4.0,False,10.0,7.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
18,MEDIUM,1.0,True,18.0,17.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
19,SOFT,1.0,True,16.0,18.0,Spanish Grand Prix,2019,20.4,55.1,1007.1,False,42.0,1.3
0,SOFT,6.0,False,1.0,1.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
1,SOFT,4.0,False,2.0,4.0,Monaco Grand Prix,2019,22.6,50.3,1011.2,False,35.2,0.6
