,Compound,TyreLife,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
150,1,4.0,20.0,11.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
151,1,4.0,7.0,6.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
152,1,1.0,14.0,16.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
153,1,4.0,17.0,13.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
154,1,1.0,19.0,18.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
155,1,1.0,8.0,9.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
156,1,4.0,11.0,12.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
157,2,4.0,6.0,8.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
158,1,1.0,3.0,1.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
159,1,1.0,5.0,4.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
160,2,4.0,10.0,14.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
161,1,1.0,12.0,7.0,14,2023,28.5,45.0,1001.0,0,43.2,1.8
162,2,1.0,5.0,11.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
163,1,1.0,6.0,12.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
164,2,1.0,8.0,13.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
165,1,1.0,15.0,7.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
166,0,4.0,4.0,3.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
167,1,1.0,14.0,18.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
168,1,1.0,10.0,6.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
169,0,1.0,19.0,15.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
170,1,1.0,11.0,14.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
171,0,1.0,12.0,0.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
172,1,1.0,13.0,9.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
173,1,1.0,18.0,8.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
174,1,1.0,2.0,4.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
175,1,1.0,9.0,10.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
176,1,1.0,3.0,5.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
177,1,1.0,1.0,1.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
178,1,1.0,16.0,2.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
179,2,1.0,17.0,16.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
180,1,1.0,7.0,17.0,15,2023,30.0,68.0,1007.9,0,38.3,0.8
181,1,1.0,1.0,1.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
182,1,1.0,2.0,3.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
183,1,1.0,3.0,2.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
184,1,1.0,4.0,4.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
185,1,1.0,5.0,7.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
186,1,1.0,6.0,6.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
187,1,1.0,7.0,8.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
188,0,4.0,8.0,10.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
189,1,1.0,9.0,14.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
190,1,1.0,10.0,12.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
191,0,1.0,11.0,11.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
192,0,4.0,12.0,9.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
193,0,1.0,13.0,19.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
194,0,1.0,14.0,18.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
195,1,1.0,15.0,15.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
196,1,1.0,16.0,13.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
197,1,1.0,17.0,0.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
198,0,1.0,18.0,17.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
199,1,1.0,19.0,5.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
200,0,1.0,20.0,16.0,16,2023,27.3,46.0,1013.2,0,45.8,2.0
201,1,4.0,1.0,1.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
202,1,7.0,2.0,6.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
203,1,8.0,3.0,10.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
204,1,8.0,4.0,2.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
205,1,9.0,5.0,5.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
206,1,6.0,6.0,4.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
207,1,8.0,7.0,8.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
208,0,4.0,8.0,9.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
209,1,1.0,9.0,19.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
210,2,1.0,10.0,0.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
211,1,9.0,11.0,16.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
212,1,8.0,12.0,7.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
213,1,1.0,13.0,13.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
214,0,1.0,14.0,18.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
215,1,1.0,15.0,11.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
216,1,8.0,16.0,14.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
217,0,1.0,17.0,17.0,17,2023,32.3,64.0,1009.5,0,38.1,1.1
